Date;Price;Price_number;Open;High;Low;Vol.;Change %
06/02/2023;8,725;8725;8,75;8,75;8,65;118.11M;0.29%
07/02/2023;8,85;8850;8,775;8,85;8,75;116.01M;1.43%
08/02/2023;8,825;8825;8,825;8,85;8,8;54.50M;-0.28%
09/02/2023;8,9;8900;8,825;8,9;8,8;58.54M;0.85%
10/02/2023;8,825;8825;8,875;8,9;8,7;62.06M;-0.84%
13/02/2023;8,875;8875;8,875;8,9;8,775;51.18M;0.57%
14/02/2023;8,95;8950;8,85;8,95;8,825;58.46M;0.85%
15/02/2023;8,875;8875;8,875;8,9;8,75;49.53M;-0.84%
16/02/2023;8,7;8700;8,825;8,85;8,7;66.07M;-1.97%
17/02/2023;8,725;8725;8,775;8,85;8,725;34.69M;0.29%
20/02/2023;8,75;8750;8,725;8,825;8,7;40.08M;0.29%
21/02/2023;8,7;8700;8,775;8,8;8,7;25.39M;-0.57%
22/02/2023;8,675;8675;8,7;8,75;8,625;51.05M;-0.29%
23/02/2023;8,725;8725;8,625;8,75;8,625;53.42M;0.58%
24/02/2023;8,675;8675;8,775;8,85;8,675;60.25M;-0.57%
27/02/2023;8,775;8775;8,675;8,775;8,65;48.20M;1.15%
28/02/2023;8,75;8750;8,775;8,775;8,675;106.35M;-0.28%
01/03/2023;8,6;8600;8,725;8,75;8,6;67.03M;-1.71%
02/03/2023;8,625;8625;8,6;8,7;8,6;56.69M;0.29%
03/03/2023;8,475;8475;8,65;8,675;8,475;95.38M;-1.74%
06/03/2023;8,4;8400;8,55;8,55;8,4;93.72M;-0.88%
07/03/2023;8,425;8425;8,35;8,475;8,35;94.24M;0.30%
08/03/2023;8,575;8575;8,4;8,575;8,4;62.40M;1.78%
09/03/2023;8,575;8575;8,65;8,65;8,55;54.20M;0.00%
10/03/2023;8,45;8450;8,5;8,55;8,45;59.64M;-1.46%
13/03/2023;8,55;8550;8,45;8,625;8,45;82.08M;1.18%
14/03/2023;8,325;8325;8,425;8,475;8,325;91.63M;-2.63%
15/03/2023;8,325;8325;8,45;8,475;8,325;69.99M;0.00%
16/03/2023;8,3;8300;8,3;8,35;8,25;95.93M;-0.30%
17/03/2023;8,375;8375;8,375;8,45;8,325;141.35M;0.90%
20/03/2023;8,4;8400;8,4;8,475;8,375;37.33M;0.30%
21/03/2023;8,5;8500;8,4;8,5;8,375;73.12M;1.19%
24/03/2023;8,825;8825;8,7;8,825;8,625;173.08M;3.82%
27/03/2023;8,7;8700;8,825;8,825;8,7;113.51M;-1.42%
28/03/2023;8,675;8675;8,8;8,8;8,675;86.87M;-0.29%
29/03/2023;8,8;8800;8,675;8,8;8,625;79.93M;1.44%
30/03/2023;8,825;8825;8,9;8,9;8,8;118.98M;0.28%
31/03/2023;8,75;8750;8,825;8,85;8,725;97.16M;-0.85%
03/04/2023;8,8;8800;8,825;8,825;8,75;52.54M;0.57%
