"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2023","11,175","11,000","11,350","10,975","15.07M","1.59%"
"05/22/2023","11,000","10,950","11,075","10,950","18.45M","0.46%"
"05/19/2023","10,950","11,050","11,050","10,925","13.08M","-0.45%"
"05/17/2023","11,000","11,075","11,075","10,925","9.63M","0.00%"
"05/16/2023","11,000","11,000","11,025","10,950","7.10M","0.00%"
"05/15/2023","11,000","10,900","11,125","10,900","10.86M","1.15%"
"05/12/2023","10,875","10,900","10,975","10,850","3.03M","-0.91%"
"05/11/2023","10,975","10,900","10,975","10,775","4.07M","0.69%"
"05/10/2023","10,900","10,925","11,050","10,850","4.14M","-0.91%"
"05/09/2023","11,000","11,025","11,125","10,925","12.83M","-0.23%"
"05/08/2023","11,025","10,875","11,050","10,850","16.28M","1.38%"
"05/05/2023","10,875","10,800","10,875","10,700","13.92M","0.69%"
"05/04/2023","10,800","10,700","10,850","10,625","7.79M","0.47%"
"05/03/2023","10,750","10,625","10,850","10,575","18.48M","3.37%"
"05/02/2023","10,400","10,550","10,550","10,325","7.82M","-1.65%"
"04/28/2023","10,575","10,250","10,575","10,200","9.94M","3.17%"
"04/27/2023","10,250","10,100","10,300","10,100","5.09M","0.49%"
"04/26/2023","10,200","10,100","10,350","10,000","11.29M","0.00%"
"04/18/2023","10,200","10,225","10,325","10,150","4.17M","-0.24%"
"04/17/2023","10,225","10,125","10,225","10,025","4.56M","-0.24%"
"04/14/2023","10,250","10,300","10,350","10,200","3.73M","0.00%"
"04/13/2023","10,250","10,075","10,375","10,075","4.01M","1.99%"
"04/12/2023","10,050","10,175","10,175","10,025","2.71M","-1.47%"
"04/11/2023","10,200","10,100","10,200","10,050","1.92M","1.24%"
"04/10/2023","10,075","10,050","10,075","10,000","1.87M","0.00%"
"04/06/2023","10,075","10,125","10,125","9,975","2.48M","-0.49%"
"04/05/2023","10,125","10,200","10,200","10,025","4.27M","-0.74%"
"04/04/2023","10,200","9,975","10,200","9,850","6.14M","2.26%"
"04/03/2023","9,975","9,975","9,975","9,850","3.66M","0.00%"
"03/31/2023","9,975","9,875","10,000","9,850","4.67M","1.01%"
"03/30/2023","9,875","9,975","9,975","9,825","5.49M","-1.00%"
"03/29/2023","9,975","10,100","10,125","9,975","4.11M","-1.24%"
"03/28/2023","10,100","10,000","10,200","9,975","4.71M","1.25%"
"03/27/2023","9,975","10,000","10,025","9,875","2.85M","0.00%"
"03/24/2023","9,975","9,650","10,125","9,625","8.54M","2.84%"
"03/21/2023","9,700","9,625","9,725","9,550","2.48M","0.78%"
"03/20/2023","9,625","9,550","9,625","9,450","2.15M","0.79%"
"03/17/2023","9,550","9,500","9,800","9,500","6.31M","1.60%"
"03/16/2023","9,400","9,300","9,600","9,275","4.52M","0.80%"
"03/15/2023","9,325","9,650","9,750","9,325","4.16M","-3.37%"
"03/14/2023","9,650","9,650","9,725","9,600","2.63M","0.00%"
